Latitud,Longitud,Nombre_del_colegio,Alumnos_matriculados,Brecha_total_estimada_en_soles,Ratio_de_demolicion,Nombre_de_la_IE,Matriculados,Total_de_mesas_unipersonales,Total_de_mesas_unipersonales_en_mal_estado,Total_de_mesas_multiples,Total_de_mesas_multiples_en_mal_estado,Total_de_sillas,Total_de_sillas_en_mal_estado,Total_de_pizarras,Total_de_pizarras_en_mal_estado,Total_de_carpetas_unipersonales,Total_de_carpetas_bipersonales,Condicion_del_servicio_de_agua,Condicion_del_servicio_de_alcantarillado,Condicion_del_servicio_de_energia_electrica,Acceso_a_internet
-16.33,-71.55,JOSE CARUANA,172,"1.958.234,8","5,9%",167,8,0,0,30,0,35,0,3,0,0,0,Inadecuado,Inadecuado,Adecuado,Sí
-16.39,-71.53,40001 LUIS H. BOURONCLE,445,"5.186.627,6","0,0%",190,30,0,0,9,0,37,0,3,0,0,0,Adecuado,Adecuado,Adecuado,Sí
-16.41,-71.54,40002 AL AIRE LIBRE/40002 AL AIRE LIBRE,321,"897.932,0","0,0%",24136,9,0,0,16,0,20,0,2,0,0,0,Inadecuado,Inadecuado,Adecuado,Sí
-16.41,-71.52,40007 GILBERTO OCHOA GALDOS/40007 GILBERTO OCHOA GALDOS,170,"3.002.442,6","1,4%",24138,49,4,0,0,0,49,0,6,0,0,33,Adecuado,Adecuado,Adecuado,No
-16.42,-71.55,SANTO DOMINGO DE GUZMAN/SANTO DOMINGO DE GUZMAN/SANTO DOMINGO DE GUZMAN,55,"1.237.986,4","0,0%",24092,44,0,0,0,0,65,0,5,0,0,65,Adecuado,Adecuado,Adecuado,No
-16.41,-71.54,VICTORIA BARCIA BONIFFATTI,94,"1.206.066,8","0,0%",24134,1,7,1,0,0,10,1,1,0,7,0,Adecuado,Sin acceso,Adecuado,Sí
-16.40,-71.54,40015 VALLECITO,150,"1.297.861,4","0,0%",24137,1,15,0,10,0,24,0,2,0,0,0,Adecuado,Inadecuado,Adecuado,Sí
-16.39,-71.54,SANTA MONICA,63,"3.027.102,4","0,0%",24377,2,8,0,0,0,8,0,2,0,0,0,Inadecuado,Inadecuado,Inadecuado,Sí
-16.43,-71.56,NUESTRA SEÑORA DE LOURDES/NUESTRA SEÑORA DE LOURDES/NUESTRA SEÑORA DE LOURDES,576,"3.278.500,9","0,0%",24402,2,20,2,0,0,19,0,1,1,0,0,Adecuado,Adecuado,Adecuado,Sí
-16.42,-71.54,40025 SANTA DOROTEA/40025 SANTA DOROTEA,324,"531.249,3","0,0%",24600,1,5,1,4,1,6,2,1,0,0,0,Inadecuado,Inadecuado,Adecuado,Sí
-16.40,-71.54,40042 REPUBLICA DE FRANCIA/40042 REPUBLICA DE FRANCIA,103,"2.012.791,1","4,9%",CESAR VALLEJO,37,24,0,0,0,24,4,5,1,14,0,Adecuado,Adecuado,Adecuado,No
-16.42,-71.55,POLIVALENTE/POLIVALENTE/POLIVALENTE,115,"4.798.479,4","2,0%",MARISCAL ANTONIO JOSE DE SUCRE,52,0,0,56,0,109,0,6,2,0,0,Adecuado,Adecuado,Adecuado,No
-16.41,-71.53,41003 ALMIRANTE MIGUEL GRAU/41003 ALMIRANTE MIGUEL GRAU,202,"2.735.595,0","13,7%",PAICO/166,38,0,0,6,0,7,0,1,0,1,0,Adecuado,Adecuado,Adecuado,No
-16.41,-71.54,41005 HEROES DE ANGAMOS,107,"1.537.184,7","0,0%",165,11,0,0,3,0,12,0,1,0,0,0,Inadecuado,Adecuado,Adecuado,Sí
-16.40,-71.55,40165 SAN JUAN BAUTISTA DE LA SALLE/40165 SAN JUAN BAUTISTA DE LA SALLE,1.080,"5.900.120,6","0,0%",24140,26,45,0,0,0,45,0,3,0,0,0,Adecuado,Adecuado,Adecuado,No
-16.40,-71.52,41008 MANUEL MUÑOZ NAJAR/41008 MANUEL MUÑOZ NAJAR,802,"6.719.854,9","5,8%",24143,26,0,0,0,0,42,0,2,0,12,0,Adecuado,Adecuado,Adecuado,No
-16.40,-71.54,NUESTRA SEÑORA DEL PILAR/NUESTRA SEÑORA DEL PILAR,64,"6.252.613,6","0,0%",NUESTRA SEÑORA VIRGEN DEL CARMEN,18,80,0,0,0,80,0,5,0,0,0,Adecuado,Adecuado,Adecuado,No
-16.40,-71.54,41014 FORTUNATA GUTIERREZ DE BERNEDO/41014 FORTUNATA GUTIERREZ DE BERNED,259,"1.563.288,0","0,0%",195 LARCAY,31,0,0,0,0,41,0,3,2,0,18,Adecuado,Adecuado,Adecuado,Sí
-16.42,-71.51,NUESTRA SEÑORA DE LA ASUNCION,608,"531.664,4","0,0%",24129,60,66,0,4,0,67,0,6,0,0,0,Adecuado,Adecuado,Adecuado,Sí
-16.40,-71.53,PRONOE ESTUDIOS INDEPENDIENTES/41019 REPUBLICA DE VENEZUELA,333,"5.559.403,4","0,0%",24130,11,20,0,0,0,8,0,2,0,0,0,Inadecuado,Inadecuado,Adecuado,Sí
-16.39,-71.53,AREQUIPA/AREQUIPA,1.057,"5.029.321,4","0,0%",24132,37,37,0,15,0,54,0,8,0,36,13,Adecuado,Adecuado,Adecuado,No
-16.40,-71.54,ESCUELA NACIONAL DE ARTE CARLOS BACA FLOR DE AREQUIPA,350,"5.040.366,7","20,2%",24399,6,12,0,0,0,12,0,2,0,0,0,Inadecuado,Adecuado,Adecuado,Sí
