UBIGEO,PROVINCIA,DISTRITO,TOTAL_VIVIENDAS,VIVIENDAS_SIN_LUZ,BRECHA_PORCENTAJE,LATITUD,LONGITUD,TIPO_INTERVENCION_SUGERIDA
040517,CAYLLOMA,TISCO,607.0,436.0,71.83,-15.346944,-71.449167,Crítico (Off-Grid Aislado)
040119,AREQUIPA,SAN JUAN DE TARUCANI,521.0,357.0,68.52,-16.183889,-71.065556,Crítico (Off-Grid Aislado)
040514,CAYLLOMA,SAN ANTONIO DE CHUCA,328.0,202.0,61.59,-15.840278,-71.090278,Crítico (Off-Grid Aislado)
040603,CONDESUYOS,CAYARANI,731.0,430.0,58.82,-14.673056,-72.023056,Crítico (Off-Grid Aislado)
040504,CAYLLOMA,CALLALLI,614.0,337.0,54.89,-15.506667,-71.448333,Crítico (Off-Grid Aislado)
040606,CONDESUYOS,RIO GRANDE,998.0,456.0,45.69,-15.941111,-73.130833,Crítico (Off-Grid Aislado)
040516,CAYLLOMA,TAPAY,200.0,90.0,45.0,-15.578889,-71.941389,Crítico (Off-Grid Aislado)
040807,LA UNION,QUECHUALLA,115.0,47.0,40.87,-15.275833,-73.023333,Crítico (Off-Grid Aislado)
040207,CAMANA,QUILCA,313.0,124.0,39.62,-16.716389,-72.4275,Crítico (Off-Grid Aislado)
040125,AREQUIPA,VITOR,1596.0,620.0,38.85,-16.465833,-71.938889,Crítico (Off-Grid Aislado)
040507,CAYLLOMA,HUAMBO,298.0,111.0,37.25,-15.729722,-72.107222,Crítico (Off-Grid Aislado)
040515,CAYLLOMA,SIBAYO,247.0,85.0,34.41,-15.485833,-71.458611,Crítico (Off-Grid Aislado)
040406,CASTILLA,CHOCO,297.0,99.0,33.33,-15.576111,-72.133056,Crítico (Off-Grid Aislado)
040804,LA UNION,HUAYNACOTAS,615.0,200.0,32.52,-15.174444,-72.851389,Crítico (Off-Grid Aislado)
040412,CASTILLA,UÃON,74.0,24.0,32.43,,,Crítico (Off-Grid Aislado)
040128,AREQUIPA,YURA,12484.0,4023.0,32.23,-16.245,-71.693056,Crítico (Off-Grid Aislado)
040518,CAYLLOMA,TUTI,253.0,77.0,30.43,-15.5325,-71.551111,Crítico (Off-Grid Aislado)
040519,CAYLLOMA,YANQUE,690.0,207.0,30.0,-15.65,-71.661389,Crítico (Off-Grid Aislado)
040608,CONDESUYOS,YANAQUIHUA,1307.0,380.0,29.07,-15.774722,-72.875833,Crítico (Off-Grid Aislado)
040113,AREQUIPA,POCSI,200.0,57.0,28.5,-16.517222,-71.3925,Crítico (Off-Grid Aislado)
040806,LA UNION,PUYCA,759.0,214.0,28.19,-15.058889,-72.690833,Crítico (Off-Grid Aislado)
040505,CAYLLOMA,CAYLLOMA,777.0,217.0,27.93,-15.187222,-71.7725,Crítico (Off-Grid Aislado)
040404,CASTILLA,CHACHAS,492.0,137.0,27.85,-15.501667,-72.271944,Crítico (Off-Grid Aislado)
040511,CAYLLOMA,LLUTA,334.0,91.0,27.25,-16.015556,-72.016111,Crítico (Off-Grid Aislado)
040506,CAYLLOMA,COPORAQUE,366.0,98.0,26.78,-15.6275,-71.648333,Crítico (Off-Grid Aislado)
040120,AREQUIPA,SANTA ISABEL DE SIGUAS,247.0,62.0,25.1,-16.319722,-72.102778,Crítico (Off-Grid Aislado)
