COD_MOD,CEN_EDU,DISTRITO,LOCALIDAD
1720556,SIR ALEXANDER FLEMING,CERCADO,
313890,40513 SAN MIGUEL ARCANGEL,ALCA,ANEXO DE CAHUANA
1529767,COLEGIO SUPERIOR DE CIENCIAS NEWTON VIANNEY,YURA,
307819,41511 LIBERTADORES DE AMERICA,RIO GRANDE,SAN JUAN DE CHORUNGA
314237,40547,PAMPAMARCA,TECCA
312611,40380,CALLALLI,CALLALLI
637215,40582,SIBAYO,ANEXO SIOBAYO
1333285,TERESITA DE JESUS,CAYMA,DEAN VALDIVIA
1203561,40681 FRAY MARTIN,MOLLENDO,BELLAVISTA
891374,41065,HUAYNACOTAS,CULYPAMPA
612416,40501,SALAMANCA,PALCUYO
1608454,STEPHEN WILLIAM HAWKING,CERRO COLORADO,FRANCISCO GARCIA CALDDERON
219519,40144 AUGUSTO SALAZAR BONDY,MIRAFLORES,CHAPI CHICO
314120,40536 TUPAC AMARU II,TORO,ANEXO CASPI
1335181,GRAN PACIFICADOR LINUS PAULING,AREQUIPA,AREQUIPA
695122,40230 SAN ANTONIO DEL PEDREGAL,MAJES,PEDREGAL
313270,40447 LA INMACULADA CONCEPCION,RIO GRANDE,PIUCA
3000908,SANTA MARGARITA KIDS,JACOBO HUNTER,
313189,40438,YANAQUIHUA,YANAQUIHUA
313106,40430 JOSE SIMEON TEJEDA,ANDARAY,ANDARAY
1705508,SCHOOL MI PEQUEÑO PARAISO,CERRO COLORADO,
1776145,LA PLACE,DEAN VALDIVIA,
845347,41053 SAN TARSICIO,APLAO,APLAO
1658186,LAPLACE MOLLENDO,MOLLENDO,
612689,40569,CHOCO,ANEXO PACHAUMA
307587,MARIA MONTESSORI,AREQUIPA,AREQUIPA
1598515,JASLIN,CAYMA,EMBAJADA DE JAPON
891341,41058,HUAYNACOTAS,LLIHUA
1537851,NESTOR KIRCHNER,CERRO COLORADO,ALTO LIBERTAD
287789,41040 JOSE CARLOS MARIATEGUI,CAMANA,CAMANA
1271840,SANTA CRUZ,CHIVAY,CHIVAY
314039,40527,SAYLA,SAINA
1344258,CIENCIAS ITALO PERUANO ENRICO FERMI,MOLLENDO,MOLLENDO
313593,40479 MIGUEL GRAU,ISLAY,ISLAY
1272004,40696 SANTA MARIA,PAUCARPATA,SANTA MARIA
1204163,LA FAYETTE,SACHACA,HUARANGUILLO
1798495,11 DE MAYO,CAYMA,ONCE DE MAYO
313619,40481,MACHAGUAY,HUASICAC
1279496,BLAS PASCAL,AREQUIPA,CERCADO
218651,40059 ALEJANDRO SANCHEZ ARTEAGA,CERRO COLORADO,SEMI RURAL PACHACUTEC
1117332,ALEXANDER FLEMING,AREQUIPA,AREQUIPA
1721018,ROBERT F. KENNEDY,PAUCARPATA,INDUISTRIAL EL CAYRO
1618909,JUAN PABLO MAGNO,TIABAYA,NORTE
287573,41014 FORTUNATA GUTIERREZ DE BERNED,AREQUIPA,AREQUIPA
312017,40320 NUESTRA SEÑORA DEL ROSARIO,HUANCARQUI,HUANCARQUI
313080,40428 VIRGEN DE FATIMA,CHUQUIBAMBA,CHUQUIBAMBA
