COD_MOD,CEN_EDU,DISTRITO,LOCALIDAD,LATITUD,LONGITUD
844365,41064,ACARI,CHOCAVENTO,-15.4325,-74.617222
307876,41517,ACARI,MACHAYNIOC,-15.4325,-74.617222
542712,40308,ACARI,VIJOTO,-15.4325,-74.617222
311696,40287 MALCO,ACARI,MALCO,-15.4325,-74.617222
311480,40265,ACARI,EL MOLINO,-15.4325,-74.617222
311456,40262 JOSE SEBASTIAN BARRANCA Y LOVERA,ACARI,ACARI,-15.4325,-74.617222
679019,FRANCISCO BOLOGNESI,ACARI,OTAPARA,-15.4325,-74.617222
307298,SAN MARTIN DE PORRES,ACARI,AVARI,-15.4325,-74.617222
307777,41507,ACARI,OTAPARA,-15.4325,-74.617222
311688,40286,ACARI,HUARATO,-15.4325,-74.617222
309591,NICOLAS DE PIEROLA,ACARI,ACARI,-15.4325,-74.617222
1031525,SAN MARTIN DE PORRES,ACARI,ACARI,-15.4325,-74.617222
844134,40624,ACHOMA,PACHACHACA,-15.661111,-71.701667
312579,40376,ACHOMA,ACHOMA,-15.661111,-71.701667
589747,DANIEL ALCIDES CARRION,ACHOMA,ACHOMA,-15.661111,-71.701667
1344597,40512 VIRGEN DE CHAPI,ALCA,AYAHUASI,-15.134167,-72.764722
313890,40513 SAN MIGUEL ARCANGEL,ALCA,ANEXO DE CAHUANA,-15.134167,-72.764722
313866,40510 CORONEL CASIMIRO PERALTA,ALCA,ALCA,-15.134167,-72.764722
313882,40512 VIRGEN DE CHAPI,ALCA,AYAHUASI,-15.134167,-72.764722
313908,40514 SAN PEDRO,ALCA,HUILLAC,-15.134167,-72.764722
314161,40540,ALCA,YUMASCA,-15.134167,-72.764722
518472,40510 CORONEL CASIMIRO PERALTA,ALCA,ALCA,-15.134167,-72.764722
1728542,CHARLES PERRAULT,ALTO SELVA ALEGRE,PAMPAS DE POLANCO,-16.370556,-71.527222
1120443,SAGRADOS CORAZONES DE JESUS Y MARIA,ALTO SELVA ALEGRE,APURIMAC,-16.370556,-71.527222
1777077,PEDRO PAULET MOSTAJO,ALTO SELVA ALEGRE,ASOCIACION DE VIVIENDA SAN LUIS GONZAGA,-16.370556,-71.527222
1757228,HEIMER SCHOOL,ALTO SELVA ALEGRE,VILLA ECOLOGICA,-16.370556,-71.527222
1339829,EL ESPIRITU SANTO,ALTO SELVA ALEGRE,AREQUIPA,-16.370556,-71.527222
1371509,MARIA DE SALES BRIGNOLE,ALTO SELVA ALEGRE,VILLA CHACHAS,-16.370556,-71.527222
1339605,AMERICANO GERMANO CHRISTUS REX,ALTO SELVA ALEGRE,ALTO SELA ALEGRE,-16.370556,-71.527222
226647,40024 MANUEL GONZALES PRADA,ALTO SELVA ALEGRE,GRAFICOS,-16.370556,-71.527222
307223,SAN MARTIN DE PORRES,ALTO SELVA ALEGRE,GRAFICOS,-16.370556,-71.527222
1273945,ADOLFO KOLPING,ALTO SELVA ALEGRE,ALTO SELVA ALEGRE,-16.370556,-71.527222
1032044,JOSE CADALSO,ALTO SELVA ALEGRE,ALTO SELVA ALEGRE,-16.370556,-71.527222
1766765,JESUS DE NAZARETH,ALTO SELVA ALEGRE,LEONES DEL MISTI,-16.370556,-71.527222
844431,SAN JUAN APOSTOL,ALTO SELVA ALEGRE,SELVA ALEGRE,-16.370556,-71.527222
844373,WILLIAM MORRIS,ALTO SELVA ALEGRE,AREQUIPA,-16.370556,-71.527222
1340280,TOMAS MARSANO,ALTO SELVA ALEGRE,ALTO SELVA ALEGRE,-16.370556,-71.527222
515668,SANTA ROSA DE LIMA CIRCA,ALTO SELVA ALEGRE,AREQUIPA,-16.370556,-71.527222
844647,40222 DIEGO THOMSON,ALTO SELVA ALEGRE,VILLA UNIÓN,-16.370556,-71.527222
1253947,LEONCIO PRADO,ALTO SELVA ALEGRE,AREQUIPA,-16.370556,-71.527222
1253863,NUESTRA SEÑORA DE GUADALUPE,ALTO SELVA ALEGRE,VILLA HERMOSA,-16.370556,-71.527222
1343474,TOMAS MARSANO,ALTO SELVA ALEGRE,ALTO SELVA ALEGRE,-16.370556,-71.527222
1338730,FEDERICO VILLARREAL,ALTO SELVA ALEGRE,PJ INDEPENDENCIA,-16.370556,-71.527222
1782846,EL MIRADOR AQP,ALTO SELVA ALEGRE,INDEPENDENCIA,-16.370556,-71.527222
1419423,CEDEU JULIO RODRIGUEZ ENRIQUEZ,ALTO SELVA ALEGRE,GRAFICOS,-16.370556,-71.527222
1339555,SAGRADOS CORAZONES DE JESUS Y MARIA,ALTO SELVA ALEGRE,APURIMAC,-16.370556,-71.527222
1254903,SAN JUAN APOSTOL,ALTO SELVA ALEGRE,SELVA ALEGRE,-16.370556,-71.527222
895490,KING'S WORLD,ALTO SELVA ALEGRE,ALTO SELVA ALEGRE,-16.370556,-71.527222
309682,40024 MANUEL GONZALES PRADA,ALTO SELVA ALEGRE,PAMPAS DE POLANCO,-16.370556,-71.527222
894642,WILLIAM MORRIS,ALTO SELVA ALEGRE,ALTO SELVA ALEGRE,-16.370556,-71.527222
1237346,ANDENES DE CHILINA,ALTO SELVA ALEGRE,INDEPENDENCIA,-16.370556,-71.527222
569988,40028 GUILLERMO MERCADO BARROSO,ALTO SELVA ALEGRE,AREQUIPA,-16.370556,-71.527222
1253905,SAN JOSE OBRERO,ALTO SELVA ALEGRE,AREQUIPA,-16.370556,-71.527222
895482,SAN MARTIN DE PORRES,ALTO SELVA ALEGRE,GRAFICOS,-16.370556,-71.527222
570010,40029 LUDWING VAN BEETHOVEN,ALTO SELVA ALEGRE,INDEPENDENCIA,-16.370556,-71.527222
1339779,ANGELITOS DE LA ESPERANZA,ALTO SELVA ALEGRE,LEONES DEL MISTI,-16.370556,-71.527222
1338722,FEDERICO VILLARREAL,ALTO SELVA ALEGRE,PJ INDEPENDENCIA,-16.370556,-71.527222
1339274,THE PROVIDENCE SCHOOL,ALTO SELVA ALEGRE,AREQUIPA,-16.370556,-71.527222
1315571,JUAN NAPOLEON,ALTO SELVA ALEGRE,ALTO SELVA ALEGRE,-16.370556,-71.527222
1117779,LEONCIO PRADO,ALTO SELVA ALEGRE,AREQUIPA,-16.370556,-71.527222
895409,D'ANGELOUS CRISTI,ALTO SELVA ALEGRE,INDEPENDENCIA,-16.370556,-71.527222
1338532,CEDEU JULIO RODRIGUEZ ENRIQUEZ,ALTO SELVA ALEGRE,GRAFICOS,-16.370556,-71.527222
1631092,MAGISTERIAL,ALTO SELVA ALEGRE,AREQUIPA,-16.370556,-71.527222
1328608,MISERICORDIA DIVINA,ALTO SELVA ALEGRE,SELVA ALEGRE,-16.370556,-71.527222
1577626,EINSTEIN SCHOOL,ALTO SELVA ALEGRE,VILLA ASUNCION,-16.370556,-71.527222
1721638,ADDISON,ALTO SELVA ALEGRE,VILLA ASUNCIÓN,-16.370556,-71.527222
1371467,JULIETTE HARMAN,ALTO SELVA ALEGRE,ALTO SELVA ALEGRE,-16.370556,-71.527222
1339746,DIEGO DE SAN PEDRO,ALTO SELVA ALEGRE,EDIFICADORES,-16.370556,-71.527222
287730,41035 NICANOR RIVERA CACERES,ALTO SELVA ALEGRE,URBANIZACIÓN GRÁFICOS,-16.370556,-71.527222
1339985,SEÑOR JUSTO JUEZ,ALTO SELVA ALEGRE,URB APURIMAC,-16.370556,-71.527222
895342,40657,ALTO SELVA ALEGRE,VILLA INDEPENDIENTE,-16.370556,-71.527222
1254663,CESAR VALLEJO,ALTO SELVA ALEGRE,AUGUSTO SALAZAR BONDY,-16.370556,-71.527222
1336866,D'ANGELOUS CRISTI,ALTO SELVA ALEGRE,URB INDEPENDENCIA,-16.370556,-71.527222
1253467,ADDISON,ALTO SELVA ALEGRE,VILLA ASUNCIÓN,-16.370556,-71.527222
1693266,EL MIRADOR AQP,ALTO SELVA ALEGRE,INDEPENDENCIA,-16.370556,-71.527222
1239284,40686 MI DIVINO NIÑO JESUS,ALTO SELVA ALEGRE,JUAN VELAZCO ALVARADO,-16.370556,-71.527222
307215,SAN JOSE OBRERO,ALTO SELVA ALEGRE,URB VILLA HERMOSA,-16.370556,-71.527222
226746,40034 MARIO VARGAS LLOSA,ALTO SELVA ALEGRE,,-16.370556,-71.527222
844340,40261 TOMAS GUZMAN GOMEZ,ALTO SELVA ALEGRE,LEONES DEL MISTI,-16.370556,-71.527222
1755511,JOULE ALTO SELVA ALEGRE,ALTO SELVA ALEGRE,ALTO SELVA ALEGRE,-16.370556,-71.527222
1343490,PINTO TALAVERA,ALTO SELVA ALEGRE,VILLA  CONFRATERNIDAD,-16.370556,-71.527222
1402494,NUESTRA SEÑORA DE LA ESPERANZA MACARENA,ALTO SELVA ALEGRE,GRAFICOS,-16.370556,-71.527222
307249,NUESTRA SEÑORA DE GUADALUPE,ALTO SELVA ALEGRE,,-16.370556,-71.527222
1663095,ALTO SELVA ALEGRE LINUS PAULING,ALTO SELVA ALEGRE,GRAFICOS,-16.370556,-71.527222
309252,MILITAR FRANCISCO BOLOGNESI,ALTO SELVA ALEGRE,AREQUIPA,-16.370556,-71.527222
844316,40029 LUDWING VAN BEETHOVEN,ALTO SELVA ALEGRE,URB INDEPENDENCIA,-16.370556,-71.527222
1237304,ANDENES DE CHILINA,ALTO SELVA ALEGRE,INDEPENDENCIA,-16.370556,-71.527222
307231,SANTA ROSA DE LIMA Y LAS AMERICAS,ALTO SELVA ALEGRE,ALTO SELVA AELGRE,-16.370556,-71.527222
1755529,JOULE ALTO SELVA  ALEGRE,ALTO SELVA ALEGRE,SELVA ALEGRE,-16.370556,-71.527222
1532886,PINTO TALAVERA,ALTO SELVA ALEGRE,VILLA  CONFRATERNIDAD,-16.370556,-71.527222
636480,ALTO SELVA ALEGRE LINUS PAULING,ALTO SELVA ALEGRE,GRAFICOS,-16.370556,-71.527222
1031640,40222 DIEGO THOMSON,ALTO SELVA ALEGRE,VILLA UNION,-16.370556,-71.527222
311951,40314 NUESTRA SEÑORA DE LA ASUNCION,ANDAGUA,ANDAGUA,-15.4975,-72.355
723023,40609,ANDAGUA,ANEXO DE SAN ANTONIIO,-15.4975,-72.355
312298,40348,ANDAGUA,AREQUIPA,-15.4975,-72.355
518274,40314 NUESTRA SEÑORA DE LA ASUNCION,ANDAGUA,ANDAGUA,-15.4975,-72.355
1342351,40706,ANDAGUA,ORAHUASTO,-15.4975,-72.355
678896,40597,ANDAGUA,ANEXO DE CCALLHUA,-15.4975,-72.355
313106,40430 JOSE SIMEON TEJEDA,ANDARAY,ANDARAY,-15.796111,-72.859722
313361,40456 TUPAC AMARU II,ANDARAY,HUARANGUIL,-15.796111,-72.859722
612382,40497,ANDARAY,ANEXO TUMPULLO,-15.796111,-72.859722
891556,40430 JOSE SIMEON TEJEDA,ANDARAY,ANDARAY,-15.796111,-72.859722
313379,40457 INMACULADA CONCEPCION,ANDARAY,HUASACA,-15.796111,-72.859722
311902,40309,APLAO,HUATIAPILLA,-16.076111,-72.4925
796771,40310,APLAO,ACOY,-16.076111,-72.4925
1379312,40311 JOSE RODRIGUEZ BUSTAMANTE,APLAO,COSOS,-16.076111,-72.4925
312231,40342,APLAO,LA CENTRAL,-16.076111,-72.4925
311944,40313 SAN IGNACIO DE LOYOLA,APLAO,ANEXO LA REAL,-16.076111,-72.4925
1238245,PRIMARIA,APLAO,,-16.076111,-72.4925
313205,40440 CORAZON DE FATIMA,APLAO,APLAO,-16.076111,-72.4925
312272,40346,APLAO,MAMAS,-16.076111,-72.4925
312264,40345 EL ROSARIO,APLAO,COCHATE,-16.076111,-72.4925
311886,40307 ANGELA RENDON DE SANCHEZ,APLAO,APLAO,-16.076111,-72.4925
891168,40313 SAN IGNACIO DE LOYOLA,APLAO,ANEXO LA REAL,-16.076111,-72.4925
845347,41053 SAN TARSICIO,APLAO,APLAO,-16.076111,-72.4925
1379353,40309,APLAO,HUATIAPILLA,-16.076111,-72.4925
1656206,SAN FELIPE DE NERI,APLAO,APLAO,-16.076111,-72.4925
