COD_MOD,CEN_EDU,DISTRITO,LOCALIDAD,AREA_CENSO,GES_DEP,NIV_MOD,P124B_NO,TOTAL_ALUMNOS,TOTAL_EQUIPOS_D01,EQUIPOS_OPERATIVOS_D02,SCORE_CARECIA,SCORE_IMPACTO,PRIORIDAD_PANEL_SOLAR
1720556,SIR ALEXANDER FLEMING,CERCADO,,1,B4,B0,2.0,300,41,41,0,0.8146870379497289,BAJA
0313890,40513 SAN MIGUEL ARCANGEL,ALCA,ANEXO DE CAHUANA,2,A1,B0,,29,31,15,1,0.462666338097585,MEDIA
1529767,COLEGIO SUPERIOR DE CIENCIAS NEWTON VIANNEY,YURA,,1,B4,B0,,207,34,34,0,0.7449482503696402,BAJA
0307819,41511 LIBERTADORES DE AMERICA,RIO GRANDE,SAN JUAN DE CHORUNGA,2,A1,B0,,201,120,90,1,0.8473385904386397,ALTA/URGENTE
0314237,40547,PAMPAMARCA,TECCA,2,A1,B0,,32,35,31,1,0.4874322326269098,MEDIA
0312611,40380,CALLALI,CALLALLI,2,A1,B0,,94,87,70,1,0.7014539181862987,ALTA/URGENTE
0637215,40582,SIBAYO,ANEXO SIOBAYO,2,A1,B0,,7,7,4,1,0.19184327254805322,MEDIA
1333285,TERESITA DE JESUS,CAYMA,DEAN VALDIVIA,1,B4,B0,,114,13,13,0,0.49704287826515525,BAJA
1203561,40681 FRAY MARTIN,MOLLENDO,BELLAVISTA,1,A1,B0,,174,33,21,0,0.7152538196155742,BAJA
0891374,41065,HUAYNACOTAS,CULYPAMPA,2,A1,B0,,5,7,3,1,0.18050763923114835,MEDIA
0612416,40501,SALAMANCA,PALCUYO,2,A1,B0,,1,11,3,1,0.1933218334154756,MEDIA
1608454,STEPHEN WILLIAM HAWKING,CERRO COLORADO,FRANCISCO GARCIA CALDDERON,1,B4,B0,,81,25,25,0,0.5422621981271563,BAJA
0219519,40144 AUGUSTO SALAZAR BONDY,MIRAFLORES,CHAPI CHICO,1,A1,B0,,351,46,46,0,0.8457368161655988,BAJA
0314120,40536 TUPAC AMARU II,TORO,ANEXO CASPI,2,A1,B0,,2,2,0,1,0.07762444553967472,MEDIA
1335181,GRAN PACIFICADOR LINUS PAULING,AREQUIPA,AREQUIPA,1,B4,B0,,139,29,29,0,0.65352390340069,BAJA
0695122,40230 SAN ANTONIO DEL PEDREGAL,MAJES,PEDREGAL,1,A1,B0,,967,0,0,0,0.5167570231641203,BAJA
