COD_MOD,ANEXO,CODLOCAL,NROCED,CEN_EDU,DISTRITO,LOCALIDAD,P104A,P105A,P105A_S_1,P105A_S_2,P105A_S_3,P105A_S_4,P105A_S_5,P105A_S_5O,P106A,P107A,P107A_NO,P107A_NO_O,P108A,P109A_1,P109A_2,P109A_3,P109A_4,P109A_5,P109A_6,P110A,P111A_1,P111A_2,P111A_3,P111A_4,P111A_5,P111A_6,P111A_5_OT,P112A,P112A_SI,P113A,P113A_S_1,P113A_S_2,P113A_S_3,P113A_S_4,P113A_S_5,P113A_S_6,P113A_S_6O,P114A,P114A_S_1,P114A_S_2,P114A_S_3,P114A_S_4,P114A_S_5,P114A_S_5O,P116A,P117A,P117A_1_CP,P117A_2_CP,P118A,P118A_S_1,P118A_S_2,P118A_S_3,P118A_S_4,P118A_S_5,P118A_S_5O,P119A,P120A,P121A,P122A,P122A_S_1,P122A_S_2,P122A_S_3,P122A_S_4,P122A_S_5,P122A_S_5O,P123A,P123A_SI,P102B_1,P102B_2,P102B_3,P102B_4,P102B_5,P102B_6,P102B_7,P102B_8,P102B_8_OT,P103B,P103B_SI_1,P103B_SI_2,P105B,P106B,P106B_SI,P109B_1,P109B_2,P109B_3,P109B_4,P109B_5,P109B_6,P109B_7,P109B_7_OT,P110B_1,P110B_2,P110B_3,P110B_4,P111B,P112B,P112B_SI,P113B,P113B_SI,P114B_1,P114B_2,P114B_3,P114B_4,P114B_5,P114B_6,P114B_7,P114B_8,P114B_8_OT,P115B_1,P115B_2,P115B_3,P115B_4,P115B_5,P115B_6,P115B_7,P115B_6_OT,P117B,P118B,P118B_SI,P119B,P120B_1,P120B_2,P120B_3,P120B_4,P120B_5,P120B_5_OT,P121B,P121B_SI_1,P121B_SI_2,P122B,P123B,P123B_SI,P124B,P124B_SI,P124B_NO,P124B_NO_O,P125B,P126B,P126B_SI_1,P126B_SI_2,P127B,P128B,P128B_SI,P129B,P130B,P131B_1,P131B_2,P131B_3,P131B_4,P131B_5,P131B_6,P131B_7,P132B_1,P132B_2,P133B,P133B_SI,P134B,P134B_S1_1,P134B_S1_2,P134B_S1_3,P134B_S1_4,P134B_S1_5,P134B_S1_6,P134B_S1_7,P134B_S1_O,P134B_S2_1,P134B_S2_2,P134B_S2_3,P135B,P135B_S_1,P135B_S_2,P135B_S_3,P135B_S_4,P135B_S_5,P135B_SI_5,P136B,P136B_S_1,P136B_S_2,P136B_S_3,P136B_S_4,P136B_S_4O,NIV_MOD,GES_DEP,AREA_CENSO,CODGEO,CODOOII,MSE_EBR,MSE_ST,P5_FORMA,P5_DETALLE,P5_7_CANT,P5_7_LPPAL,P5_7_DIST,P5_7_TERRP,P111A,P111A_S_1,P111A_S_2,P111A_S_3,P111A_S_4,P111A_S_5,P111A_S_5O,P114A_1_CP,P114A_2_CP,P115A,P115A_S_1,P115A_S_2,P115A_S_3,P115A_S_4,P115A_S_5,P115A_S_5O,P118A_1,P118A_2,P118A_3,P118A_4,P118A_5,P118A_6,P118A_7,P118A_7_OT,P120A_S_1,P120A_S_2,P120A_S_3,P120A_S_4,P120A_S_5,P120A_S_5O,P121A_SI,P131B,P131B_S_1M,P131B_S_1C,P131B_S_2M,P131B_S_2C,P131B_S_3M,P131B_S_3C,P131B_S_4M,P131B_S_4C,P132B_3,P132B_4,P133B_1,P133B_2,P133B_3,P133B_4,P134B_1,P134B_2,P134B_3,P134B_4,P134B_5,P134B_6,P134B_7,P135B_1,P135B_2,P136B_SI,P137B,P137B_S1_1,P137B_S1_2,P137B_S1_3,P137B_S1_4,P137B_S1_5,P137B_S1_6,P137B_S1_7,P137B_S1_O,P137B_S2_1,P137B_S2_2,P137B_S2_3,P138B,P138B_S_1,P138B_S_2,P138B_S_3,P138B_S_4,P138B_S_5,P138B_SI_5,P139B,P139B_S_1,P139B_S_2,P139B_S_3,P139B_S_4,P139B_S_4O
1720556,0,852373,3AP,SIR ALEXANDER FLEMING,CERCADO,,NO,,,,,,,,NO,,,,NO,X,,,,,,SI,X,,,X,,,,NO,,NS,,,,,,,,NO,,,,,,,,SI,5,0,NO,,,,,,,SI,SI,6,NO,,,,,,,NO,,,,,,,,,,,SI,SI,SI,NO,,,X,,X,X,,X,,,X,,,,SI,SI,12,SI,5,,,,,,,,X,,,X,,,,,,,SI,SI,12,SI,,,,X,,,SI,SI,SI,SI,SI,SI,NO,,2,,SI,NO,,//,SI,SI,SI,SI,SI,X,X,X,,X,,,,,SI,SI,NO,,,,,,,,,,,,SI,X,,,,,,SI,X,X,,,,B0,B4,1,040101,040001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0313890,0,073181,3AP,40513 SAN MIGUEL ARCANGEL,ALCA,ANEXO DE CAHUANA,NO,,,,,,,,NO,,,,SI,,,,,,X,SI,X,X,X,X,,,,SI,SI,SI,,,X,,,,,SI,X,,X,,,,SI,NO,,,SI,X,X,X,,,,SI,SI,8,SI,,,X,X,,,,,X,X,X,X,X,X,,,,SI,SI,SI,SI,SI,3,X,X,X,,,,,,X,X,X,X,SI,SI,3,SI,3,X,X,,X,,,,,,X,X,X,X,,,,,SI,SI,4,SI,X,X,X,X,,,SI,SI,SI,SI,SI,SI,SI,0,,,SI,NO,,//,NO,SI,SI,SI,SI,X,X,X,X,X,,,31,58,SI,SI,SI,X,X,X,,,,,,X,,X,SI,X,X,X,X,,,SI,X,X,X,,,B0,A1,2,040802,040009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529767,0,553166,3AP,COLEGIO SUPERIOR DE CIENCIAS NEWTON VIANNEY,YURA,,NO,,,,,,,,SI,SI,,,SI,,,,,,X,SI,X,,,,,,,NO,,NO,,,,,,,,NO,,,,,,,,NO,,,NO,,,,,,,SI,NO,1,NO,,,,,,,NO,,,,,,,,,,,NO,,,,,,,,,,,X,,,X,,,,SI,SI,6,SI,1,,X,,,,,,,,,,,,X,,,,SI,SI,50,NO,,,,X,,,SI,SI,SI,NO,SI,SI,SI,0,,,SI,NO,,//,NO,NO,,SI,NO,,,X,,,,,,OFICIO 013,SI,SI,NO,,,,,,,,,,,,NO,,,,,,,SI,,X,,,,B0,B4,1,040128,040001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0307819,0,072025,3AP,41511 LIBERTADORES DE AMERICA,RIO GRANDE,SAN JUAN DE CHORUNGA,NO,,,,,,,,SI,SI,,,SI,,,,X,X,,SI,,X,,,,,,NO,,NO,,,,,,,,NO,,,,,,,,NO,,,NO,,,,,,,NO,NO,5,NO,,,,,,,,,X,X,X,X,X,X,,,,SI,SI,SI,NO,,,X,X,,,,,,,X,,,,SI,SI,1,SI,2,,X,X,,,X,,,,X,X,,,X,,,,SI,SI,2,SI,X,,,,,,SI,SI,SI,SI,SI,SI,SI,0,,,SI,NO,,//,NO,SI,SI,SI,SI,X,,,,X,,,,,,,,,,,,,,,,,,,NO,,,,,,,NO,,,,,,B0,A1,2,040606,040007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0314237,0,073435,3AP,40547,PAMPAMARCA,TECCA,NO,,,,,,,,NO,,,,SI,X,,,,,,SI,X,X,,,,,,NO,,SI,X,,,,,,,SI,X,X,X,X,,,SI,NO,,,SI,X,,,,,,SI,SI,9,SI,,,X,,,,,,X,X,X,X,X,X,,,,SI,SI,SI,NO,,,X,X,X,,,X,,,X,X,X,X,SI,SI,4,SI,1,,X,,,,,,,,X,X,,,,,,,SI,SI,4,SI,X,X,,X,,,SI,SI,SI,SI,SI,SI,SI,0,,,SI,NO,,//,NO,SI,NO,SI,SI,X,,X,,X,,,009,,SI,SI,SI,,,X,,,,,,,X,,SI,,X,X,,,,SI,X,,,,,B0,A1,2,040805,040009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0312611,0,069909,3AP,40380,CALLALI,CALLALLI,NO,,,,,,,,SI,SI,,,SI,,,,,,X,SI,X,,X,X,,,,SI,NO,SI,,,X,,,,,SI,,X,X,,,,SI,NO,,,SI,X,,X,X,,,NO,SI,8,SI,,,X,,,,,,X,X,X,,X,X,,,,SI,SI,SI,SI,SI,2,X,X,,X,,,,,X,X,X,,SI,SI,8,SI,2,X,X,,X,,X,X,,,,X,X,,,,,,SI,SI,2,SI,,,,X,,,SI,SI,SI,SI,SI,SI,SI,0,,,SI,NO,,//,NO,SI,SI,SI,SI,,,X,,X,,,012,,SI,SI,NO,,,,,,,,,,,,NO,,,,,,,NO,,,,,,B0,A1,2,040504,040006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0637215,0,071059,3AP,40582,SIBAYO,ANEXO SIOBAYO,NO,,,,,,,,NO,,,,SI,X,,,X,,,SI,X,X,,,,,,SI,SI,SI,,,X,,,,,SI,X,X,X,X,,,SI,NO,,,SI,X,X,X,,,,SI,SI,3,SI,X,X,X,X,,,,,X,X,X,X,X,,,,,SI,SI,SI,SI,SI,3,X,X,,,X,X,,,X,X,X,X,SI,SI,2,SI,2,X,X,X,X,X,X,X,,,X,X,X,X,X,,,,SI,SI,1,SI,X,X,X,X,,,SI,SI,SI,SI,SI,SI,SI,0,,,SI,NO,,//,SI,SI,SI,SI,SI,X,,X,,X,,,020,,SI,SI,SI,,X,,,,,,,,,X,SI,,X,X,X,,,SI,X,,,,,B0,A1,2,040515,040006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1333285,0,546133,3AP,TERESITA DE JESUS,CAYMA,DEAN VALDIVIA,NO,,,,,,,,NO,,,,SI,,,,,X,,SI,X,,,,,,,NO,,SI,,,X,,,,,SI,,,X,,,,SI,NO,,,SI,X,,,,,,SI,NO,8,SI,X,X,,,,,NO,,X,X,X,X,,,,,,SI,NO,NO,SI,NO,,,X,,X,X,,,,X,X,X,,NO,SI,6,SI,2,,,,,,,X,,,X,,,X,,,,,SI,SI,4,SI,X,X,,,,,SI,SI,SI,NO,SI,SI,SI,0,,,SI,NO,,//,NO,SI,NO,SI,SI,,,,,X,,,,,,,NO,,,,,,,,,,,,NO,,,,,,,NO,,,,,,B0,B4,1,040103,040001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203561,0,072450,3AP,40681 FRAY MARTIN,MOLLENDO,BELLAVISTA,NO,,,,,,,,NO,,,,SI,X,X,,X,,,SI,X,,X,,,,,SI,SI,SI,,,X,,,,,SI,,,X,,,,SI,SI,0,1,SI,X,,X,,,,SI,SI,8,SI,,X,,X,,,,,X,X,X,X,,,,,,SI,SI,SI,SI,SI,2,X,,,,X,,,,X,X,,X,SI,SI,6,SI,4,,X,,X,X,X,,,,X,,X,X,,,,,SI,SI,6,SI,,X,,,,,SI,SI,SI,SI,SI,SI,SI,0,,,SI,NO,,//,SI,SI,SI,SI,NO,X,X,X,X,,,,027,043,SI,SI,SI,X,X,,,,,,,,,X,NO,,,,,,,NO,,,,,,B0,A1,1,040701,040008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0891374,0,073379,3AP,41065,HUAYNACOTAS,CULYPAMPA,NO,,,,,,,,NO,,,,SI,X,,,X,,,SI,X,,,,,,,NO,,NO,,,,,,,,SI,,X,X,,,,SI,NO,,,SI,X,,,,,,NO,SI,8,NO,,,,,,,,,X,,,,X,X,,,,SI,SI,SI,SI,SI,3,X,X,X,X,,X,,,X,,,X,SI,SI,1,SI,1,X,X,,X,,X,X,,,X,X,,X,,,,,NO,SI,4,SI,,,X,X,,,SI,SI,SI,SI,SI,SI,SI,0,,,SI,NO,0,//,SI,SI,SI,SI,SI,X,,,,X,,,,,NO,,NO,,,,,,,,,,,,SI,X,X,,,,,SI,X,,,,,B0,A1,2,040804,040009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
