COD_MOD,ANEXO,CODLOCAL,NROCED,CEN_EDU,DISTRITO,LOCALIDAD,MSE_EBR,MSE_ST,P5_FORMA,P5_DETALLE,P5_7_CANT,P5_7_LPPAL,P5_7_DIST,P5_7_TERRP,P104A,P105A,P105A_S_1,P105A_S_2,P105A_S_3,P105A_S_4,P105A_S_5,P105A_S_5O,P106A,P107A,P107A_NO,P107A_NO_O,P108A,P109A_1,P109A_2,P109A_3,P109A_4,P109A_5,P109A_6,P110A,P111A,P111A_S_1,P111A_S_2,P111A_S_3,P111A_S_4,P111A_S_5,P111A_S_5O,P113A,P114A,P114A_1_CP,P114A_2_CP,P115A,P115A_S_1,P115A_S_2,P115A_S_3,P115A_S_4,P115A_S_5,P115A_S_5O,P116A,P117A,P118A_1,P118A_2,P118A_3,P118A_4,P118A_5,P118A_6,P118A_7,P118A_7_OT,P119A,P120A,P120A_S_1,P120A_S_2,P120A_S_3,P120A_S_4,P120A_S_5,P120A_S_5O,P121A,P121A_SI,P102B_1,P102B_2,P102B_3,P102B_4,P102B_5,P102B_6,P102B_7,P102B_8,P102B_8_OT,P103B,P103B_SI_1,P103B_SI_2,P105B,P106B,P106B_SI,P109B_1,P109B_2,P109B_3,P109B_4,P109B_5,P109B_6,P109B_7,P109B_7_OT,P110B_1,P110B_2,P110B_3,P110B_4,P111B,P112B,P112B_SI,P113B,P113B_SI,P114B_1,P114B_2,P114B_3,P114B_4,P114B_5,P114B_6,P114B_7,P114B_8,P114B_8_OT,P115B_1,P115B_2,P115B_3,P115B_4,P115B_5,P115B_6,P115B_7,P115B_6_OT,P117B,P118B,P118B_SI,P119B,P120B_1,P120B_2,P120B_3,P120B_4,P120B_5,P120B_5_OT,P121B,P121B_SI_1,P121B_SI_2,P122B,P123B,P123B_SI,P124B,P124B_SI,P124B_NO,P124B_NO_O,P125B,P126B,P126B_SI_1,P126B_SI_2,P127B,P128B,P128B_SI,P129B,P130B,P131B,P131B_S_1M,P131B_S_1C,P131B_S_2M,P131B_S_2C,P131B_S_3M,P131B_S_3C,P131B_S_4M,P131B_S_4C,P132B_1,P132B_2,P132B_3,P132B_4,P133B_1,P133B_2,P133B_3,P133B_4,P134B_1,P134B_2,P134B_3,P134B_4,P134B_5,P134B_6,P134B_7,P135B_1,P135B_2,P136B,P136B_SI,P137B,P137B_S1_1,P137B_S1_2,P137B_S1_3,P137B_S1_4,P137B_S1_5,P137B_S1_6,P137B_S1_7,P137B_S1_O,P137B_S2_1,P137B_S2_2,P137B_S2_3,P138B,P138B_S_1,P138B_S_2,P138B_S_3,P138B_S_4,P138B_S_5,P138B_SI_5,P139B,P139B_S_1,P139B_S_2,P139B_S_3,P139B_S_4,P139B_S_4O,NIV_MOD,GES_DEP,AREA_CENSO,CODGEO,CODOOII
1796192,0,649490,3AS,LAS PLUMAS DEL AMAUTA,CERRO COLORADO,AREQUIPA,1,,1,1 JER-Jornada Escolar Regular,,,,,NO,,,,,,,,NO,,,,SI,X,X,,X,X,,SI,NO,,,,,,,,NO,,,SI,X,X,X,X,,,SI,SI,X,,,,,,,,6,NO,,,,,,,NO,,X,X,X,X,,,X,,,NO,,,,,,X,X,X,X,,,,,X,X,X,X,NO,SI,2,SI,1,X,X,X,,X,,X,,,X,,X,,X,,,,SI,SI,20,SI,X,X,,,,,SI,SI,SI,NO,SI,NO,SI,0,,,SI,SI,1,22/8/2024,SI,SI,SI,SI,SI,NO,,,,,,,,,X,X,X,X,X,,X,X,,,,,,X,NINGUNO,,,,,,,,,,,,,,,,,NO,,,,,,,NO,,,,,,F0,B4,1,040104,040001
0612440,0,072186,3AS,ANDRES AVELINO CACERES,YANAQUIHUA,ISPACAS,1,,1,1 JER-Jornada Escolar Regular,,,,,NO,,,,,,,,SI,SI,,,SI,X,X,,,,,SI,SI,,X,,,,,SI,NO,,,SI,X,X,X,X,,,NO,SI,,,X,,,,,,9,NO,,,,,,,,,X,X,X,X,X,X,,,,SI,SI,SI,SI,SI,1,,X,,,,,,,X,,,,SI,SI,6,SI,6,X,X,X,X,X,X,X,,,X,X,X,X,,,,,SI,NO,,SI,X,X,,X,,,SI,SI,SI,SI,SI,SI,SI,0,,,SI,NO,,//,SI,SI,SI,SI,SI,SI,X,X,,,,,,,X,X,X,,X,X,,,,,X,,,,,0048-2024,136-2024,SI,NO,NO,,,,,,,,,,,,NO,,,,,,,NO,,,,,,F0,A1,2,040608,040007
0309740,0,072902,3AS,40479 MIGUEL GRAU,ISLAY,MATARANI,2,,2,2 JEC-Jornada Escolar Completa,,,,,NO,,,,,,,,SI,SI,,,SI,X,,,,,,SI,SI,,,X,,,,SI,NO,,,SI,X,,X,,,,SI,SI,,,,,X,,,,5,SI,,,,X,,,,,X,X,X,X,X,X,X,,,SI,SI,SI,SI,SI,10,X,X,X,X,X,X,,,X,X,X,X,SI,SI,13,SI,5,X,X,X,X,X,X,X,,,X,X,X,X,X,,,,SI,SI,10,SI,X,X,X,X,,,SI,SI,SI,SI,SI,SI,SI,0,,,SI,NO,,//,SI,SI,SI,SI,SI,SI,,,X,X,,,,,,,X,,X,X,X,X,X,X,X,,X,,,023,,SI,SI,SI,,,,,X,,,,,,X,SI,X,,,,,,SI,X,,,,,F0,A1,1,040704,040008
1755180,0,553166,3AS,COLEGIO SUPERIOR DE CIENCIAS NEWTON VIANNEY,YURA,YURA,1,,1,1 JER-Jornada Escolar Regular,,,,,NO,,,,,,,,SI,SI,,,SI,,,,,,X,SI,NO,,,,,,,NO,NO,,,NO,,,,,,,NO,NO,X,,,,,,,,1,NO,,,,,,,NO,,,,,,,,,,,SI,SI,SI,SI,NO,,,,,X,,,,,,,,X,SI,SI,3,SI,1,X,,,,,,,,,,,,,X,,,,SI,NO,,SI,,X,,,,,SI,SI,SI,NO,SI,SI,SI,0,,,SI,NO,,//,NO,NO,,SI,NO,NO,,,,,,,,,,,X,,,X,,,,,,,,X,MUNICIPIO ESCOLAR,,,,,,,,,,,,,,,,,SI,,X,,,,,NO,,,,,,F0,B4,1,040128,040001
1239243,0,858167,3AS,CIENCIAS ITALO PERUANO ENRICO FERMI,MOLLENDO,MOLOLENDO,2,,2,2 JEC-Jornada Escolar Completa,,,,,NO,,,,,,,,NO,,,,SI,X,,,,X,,SI,SI,,,X,X,,,SI,NO,,,SI,,,,,X,PROCESO DE VACUNACIÓN,SI,NO,X,,,,,X,,,5,SI,,X,,X,,,NO,,X,X,X,X,X,X,X,,,SI,SI,SI,SI,SI,1,,,X,,,X,,,X,,,X,SI,SI,2,SI,3,,X,,,X,X,X,,,X,X,,,X,,,,SI,SI,5,SI,X,,X,,,,SI,SI,SI,NO,SI,SI,SI,1,,,SI,NO,,//,SI,SI,SI,SI,SI,NO,,,,,,,,,X,,X,,,X,,X,,,,,X,,,,,,,,,,,,,,,,,,,SI,,X,X,X,,,SI,,,X,,,F0,B4,1,040701,040008
0612507,0,073789,3AS,40531 HONOFRE BENAVIDES,TOMEPAMPA,TOMEPAMPA,2,,2,2 JEC-Jornada Escolar Completa,,,,,SI,SI,,X,,,,,SI,SI,,,SI,X,,,,,,SI,SI,X,X,X,,,,SI,NO,,,SI,X,,X,,,,SI,SI,,X,X,,,X,,,9,SI,,X,,X,,,,,X,X,X,X,X,X,X,,,SI,SI,SI,SI,SI,4,X,X,,X,X,X,,,X,X,X,X,SI,SI,7,SI,1,,,,,,X,,,,X,X,X,X,X,,,,SI,SI,50,SI,X,,,X,,,SI,SI,SI,SI,SI,SI,SI,2,,,SI,SI,2,29/10/2024,SI,SI,SI,SI,SI,SI,X,X,,,,,,,,,X,,X,X,X,X,X,X,X,X,X,,,079,,SI,NO,SI,,X,X,,,,,,X,,,SI,X,,,,,,SI,,X,,,,F0,A1,2,040810,040009
1750850,0,824785,3AS,JOHANNES KEPLER,CERRO COLORADO,AREQUIPA,1,,1,1 JER-Jornada Escolar Regular,,,,,NO,,,,,,,,NO,,,,SI,X,X,,X,X,,SI,NO,,,,,,,,NO,,,SI,X,X,X,X,,,SI,SI,X,,,,,,,,6,NO,,,,,,,NO,,X,X,X,X,,,X,,,NO,,,,,,X,X,X,X,,,,,X,X,X,X,NO,SI,2,SI,1,X,X,X,,X,,X,,,X,,X,,X,,,,SI,SI,20,SI,X,X,,,,,SI,SI,SI,NO,SI,NO,SI,0,,,SI,SI,1,22/8/2024,SI,SI,SI,SI,SI,NO,,,,,,,,,X,X,X,X,X,,X,X,,,,,,X,NINGUNO,,,,,,,,,,,,,,,,,NO,,,,,,,NO,,,,,,F0,B4,1,040128,040001
0310110,0,056718,3AS,MARIA MONTESSORI,AREQUIPA,AREQUIPA,1,,1,1 JER-Jornada Escolar Regular,,,,,NO,,,,,,,,SI,SI,,,NO,X,,,,,,SI,SI,,,X,,,,NO,NO,,,NO,,,,,,,SI,NO,X,,,,,,,,8,NO,,,,,,,NO,,,,,,,,,,,NO,,,,,,X,,,X,,,,,X,,,,NO,SI,5,SI,3,,,X,,,X,,,,,X,,,,,,,NO,NO,,SI,X,,,,,,SI,SI,SI,NO,SI,SI,SI,0,,,SI,NO,,//,NO,SI,SI,SI,SI,NO,,,,,,,,,,,,X,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,NO,,,,,,F0,B4,1,040101,040001
1335199,0,055484,3AS,GRAN PACIFICADOR LINUS PAULING,AREQUIPA,AREQUIPA,1,,1,1 JER-Jornada Escolar Regular,,,,,NO,,,,,,,,SI,SI,,,SI,X,X,,,X,,SI,SI,X,,X,X,,,SI,NO,,,SI,X,X,X,X,,,SI,SI,X,,X,,,X,,,6,SI,X,X,X,X,,,NO,,X,X,X,X,X,X,X,,,SI,SI,SI,SI,SI,5,X,X,X,X,X,X,,,X,X,X,X,SI,SI,10,SI,10,X,X,X,X,X,X,X,,,X,X,X,X,X,,,,SI,SI,6,SI,X,X,X,X,,,SI,SI,SI,SI,SI,SI,SI,0,,,SI,NO,,//,SI,SI,SI,SI,SI,SI,X,X,,,,,X,X,X,,X,X,X,X,,X,X,,X,,X,,,079,040,SI,SI,,,,,,,,,,,,,SI,,X,X,X,,,SI,X,X,,,,F0,B4,1,040101,040001
0309260,0,058859,3AS,HONORIO DELGADO ESPINOZA,CAYMA,AREQUIPA,1,,1,1 JER-Jornada Escolar Regular,,,,,NO,,,,,,,,SI,NO,1,,SI,X,,X,X,,,SI,SI,,X,X,,,,SI,SI,,6,SI,X,,,,,,SI,SI,,,,,,X,,,2,NO,,,,,,,,,X,X,X,X,X,X,X,,,SI,SI,SI,SI,SI,5,X,X,X,X,X,X,,,X,,X,X,SI,SI,40,SI,3,X,X,X,X,X,X,X,,,X,X,X,X,X,,,,SI,SI,6,SI,X,X,,X,,,SI,SI,SI,SI,SI,SI,SI,2,,,SI,SI,1,14/5/2024,SI,SI,SI,SI,SI,SI,X,X,,,,,,,,X,,,X,,,,,,X,,X,,,376-25,,SI,SI,,,,,,,,,,,,,NO,,,,,,,NO,,,,,,F0,A1,1,040103,040001
