COD_MOD,CODGEO,total_matriculados_2025
1532258,050101,119
1509009,150103,155
0821132,150135,7
1613983,210602,1
0217380,150135,5
0239293,210806,11
1535731,150103,2
0744540,150117,190
0744540,150117,168
1370931,150103,2
0885475,150135,10
1452135,130102,39
1452135,130102,5
1508472,150103,2
1264068,150135,6
1509793,150137,2
0762732,150137,2
1264027,150135,5
1737469,150103,9
1737469,150103,22
1737469,150103,12
1737469,150103,1
1737469,150103,9
0777532,150132,64
3023918,200115,94
0248013,150514,54
1407295,022002,51
3023926,200115,108
1532290,140105,226
1375054,140105,126
1027648,211105,20
1027648,211105,32
1027648,211105,5
1027648,211105,14
1027648,211105,32
1027648,211105,43
1027648,211105,41
1027648,211105,4
1027648,211105,3
1027648,211105,5
1027648,211105,9
1027648,211105,19
1027648,211105,19
1027648,211105,5
1027648,211105,7
1027648,211105,12
1027648,211105,10
1579911,210601,3
1579911,210601,3
1579911,210601,3
1579911,210601,3
1579911,210601,3
1579911,210601,2
1579911,210601,4
1579911,210601,5
1579911,210601,6
1066182,150103,2
1792944,120302,6
1044940,150103,2
1507359,150103,2
1598002,022002,2
0884890,150117,5
1698505,211105,96
1698513,211105,63
1530641,070101,36
0409805,081201,119
3045390,210601,24
1045020,150103,2
0923383,250101,2
0923383,250101,14
0923383,250101,4
0923383,250101,18
0923383,250101,2
0923383,250101,2
0923383,250101,14
0923383,250101,12
0923383,250101,12
0923383,250101,32
0923383,250101,4
0923383,250101,22
0923383,250101,14
0923383,250101,10
0923383,250101,4
0923383,250101,6
0923383,250101,4
0923383,250101,12
0923383,250101,6
1405471,150103,2
0628727,150117,6
1075662,150103,2
1508993,150103,45
1180058,200601,37
3045408,210601,56
0227231,210602,7
1350305,150133,10
3017597,200104,30
0571257,200607,343
0396705,061110,5
1016450,200302,3
0638288,061104,22
1479567,210601,11
1621424,210105,15
1479609,210601,3
1189778,151019,32
1065861,150103,2
0542266,021010,12
1509561,150103,2
1506427,150103,2
1510213,150103,2
1451509,250102,13
1045533,150103,2
0628396,150117,6
1684745,250107,137
1684745,250107,31
1746379,210607,97
0861864,210601,66
1441195,100601,4
1441195,100601,4
1441195,100601,33
