COD_MOD,CODLOCAL,CODGEO,CEN_EDU,DISTRITO,LOCALIDAD
1720556,852373,040101,SIR ALEXANDER FLEMING,CERCADO,
0313890,073181,040802,40513 SAN MIGUEL ARCANGEL,ALCA,ANEXO DE CAHUANA
1495092,605028,100111,33421,PILLCO MARCA,CAYHUAYNA
1579861,651751,150125,SANTANDER DE PUENTE PIEDRA,PUENTE PIEDRA,SANTA PAULA
1529767,553166,040128,COLEGIO SUPERIOR DE CIENCIAS NEWTON VIANNEY,YURA,
0358028,029980,021501,88154,CABANA,CABANA
1374362,587034,060809,17566,SALLIQUE,EL ALISO
0925248,239469,120601,30001-54,SATIPO,BARRIO EL PROGRESO
0215004,238097,120434,30566 ALEJANDRO RUFINO ESPINOZA LEON,YAUYOS,HUANCAS
0287219,398712,180205,43064,LA CAPILLA,SAHUANAY
1307313,858332,150103,THALES,ATE VITARTE,HUAYCAN
0339945,392994,160605,64286,SARAYACU,SAN CRISTOBAL
0866517,575917,061007,821356,JOSE SABOGAL,PAMPA ALEGRE
1158369,287399,140310,11225,SALAS,YERBA SANTA
0416289,016572,020105,86761,INDEPENDENCIA,SHECTA
1065986,718346,150103,JESUS GUIA,ATE,SANTA CLARA
0237933,048083,030219,54098 JOSE MARIA ARGUEDAS ALTAMIRANO,KAOUIABAMBA,KAOUIABAMBA
0242388,458560,210708,70465,PUCARA,CCACCO
0780635,306270,150112,MANUEL SCORZA,INDEPENDENCIA,INDEPENDENCIA
0558759,230987,120302,30207,PERENE,ANEXO LOS ANGELES DE RIO BLANCO
0514646,432297,200406,20225,SALITRAL,SAN PEDRO
0292888,192952,100112,32098,YACUS,RAYANCANCHA
1666619,750015,120602,30001-270,COVIRIALI,RICARDO PALMA
0505172,111296,060505,82971,SAN BENITO,LA PORTADA
0661025,268980,130901,81624,HUAMACHUCO,CRUZ DE LAS FLORES
1244987,176688,090117,36775,YAULI,DOS DE MAYO
0566679,028787,021303,84146 MARINA CALDAS DE VIA,ELIAZAR GUZMAN BARRON,MACHI
0440669,092504,051101,38150,VILCAS HUAMAN,CHANEN
0343194,414665,200110,14059,LA UNION,LA UNION
0273425,392178,160603,64190,PADRE MARQUEZ,ROABOYA NATIVA
1417526,566343,022005,88383,QUILLO,CUNTIP ALTO
0454967,139276,061311,10706 JOSE ANTONIO ENCINAS FRANCO,YAUYUCÁN,YAUYUCÁN
1363167,527511,140203,11604,INCAHUASI,MUSHKALIN
0436410,301319,150110,2035 FERNANDO BELAUNDE TERRY,COMAS,EL CARMEN
0517052,268937,130901,80872,HUAMACHUCO,CHOCHOCONDA
0643528,007916,010503,18312,COCABAMBA,BUILLAL
0677153,477686,220602,0183,CAMPANILLA,SAN JUAN
1503507,715456,150132,9 DE DICIEMBRE,SAN JUAN DE LURIGANCHO,CRUZ DE MOTUPE
1361989,831663,120401,BERTOLT BRECHT,JAUJA,JAUJA
1356450,570321,060108,ANT SCHOOL,BAÑOS DEL INCA,CAJAMARCA
0669101,124741,060809,17609,SALLIQUE,EL CEDRO
0739086,999879,120608,30841,RIO TAMBO,CCNN PALOMAR
0328922,318211,150123,6007,PACHACAMAC,CENTRO HISTÓRICO
0888750,812358,150132,MATEMATICO CATOLICO SAN JUAN,SAN JUAN DE LURIGANCHO,LA BASILIA
0203331,386926,160403,60338,YAVARI,SANTA TERESA I ZONA
0294249,197394,100317,PEDRO GALVEZ EGUSQUIZA,RIPÁN,PAMPA ESPERANZA
0345504,282066,140202,10072,KAÑARIS,QUINUA
0203935,374773,160110,60089,TORRES CAUSANA,CAMPO SERIO
0307819,072025,040606,41511 LIBERTADORES DE AMERICA,RIO GRANDE,SAN JUAN DE CHORUNGA
0398271,365575,160101,60125,IQUITOS,COMUNIDAD CAMPESINA YARINA
0365320,186362,090719,31239,QUICHUAS,HUALLHUAYPATA
0848515,433819,200410,20107,YAMANGO,FLOR DE AGUA
0558627,239742,120601,31489,SATIPO,PUEBLO LIBRE AZOPE
1415827,669497,130902,82149,CHUGAY,LA INEA
0377507,240967,120605,30685,PAMPA HERMOSA,SANTA BIBIANA
0447672,107534,060410,10438,LAJAS,TAURIPAMPA
0413716,041963,022008,86664,YANAMA,ALPABAMBA
0569194,181920,090503,30420 JOSE CAYETANO HEREDIA,CHINCHIHUASI,OCCORO
0741660,013168,010702,17316,CAJARURO,MILAGRO SANTA ROSA
1456722,669317,130902,82101,CHUGAY,EL PROGRESO
1430891,848531,120114,EXCELENTI,EL TAMBO,
0297374,202809,100610,32496,SANTO DOMINGO DE ANDA,ANDA
0358341,023110,020903,88147 MARIA MANTILLA NAUCAPOMA,BAMBAS,ANEXO DE COBAMIRES
0667279,228183,120203,31560,ANDAMARCA,LAUCA
1035492,240929,120605,30001-93,PAMPA HERMOSA,MANZANILLA
0426841,405232,190206,34188,SANTA ANA DE TUSÍ,UCRO
0403535,116454,060611,16444,SANTACRUZ,CHIPLE LIMON
0842997,488595,230201,42080 SIMON BOLIVAR,CANDARAVE,SANTA CRUZ
0388371,098940,060110,82213,MATARA,TINAJONES
0374652,240255,120602,30653,COVIRIALI,SAN PEDRO
1430776,642554,120101,CONSTRUYE,EL TAMBO,EL TAMBO
0377317,240613,120604,30665,MAZAMARI,TODOS LOS SANTOS
0673145,194003,100109,33015,SANTA MARIA DEL VALLE,CONCHUMAYO
0546481,123082,060804,16831,COLASAY,EL  NARANJAL
0518134,180398,090407,22092,HUACHOS,RANRAMARCA
0271551,494049,250107,64048,MANANTAY,NUEVA BARRANCA
0263764,120494,060801,16043,JAÉN,LOMA SANTA
0602466,372731,160107,601065,NAPO,ISLA YARINA
1144567,405595,190206,34580,SANTA ANA DE TUSI,PIQUILHUANCA
0743518,189450,090724,36583,LAMBRAS,SAMBOCACHI
0633982,385210,160305,6010142,URARINAS,BUENOS AIRES
0375402,182528,090507,31295 DIVINO MAESTRO,PAUCARBAMBA,UCHUY CRUZ
0495622,000217,010101,18291,CHACHAPOYAS,OPELEL
0273094,494365,250101,64132-B,CALLERÍA,COMUNIDAD NATIVA PATRIA NUEVA
0425470,405840,190208,34202,VILCABAMBA,PATARAYOG
1508274,721136,150103,SANTA MARIA MILAGROSA,ATE,SANTA CLARA
1505635,718313,150137,LEV VIGOTSKY,SANTA ANITA,SANTA ANITA
0438051,133910,061103,82791,CALQUIS,LA COLPA
0328385,343753,150142,6062 PERU EEUU,VILLA EL SALVADOR,
0341370,437049,200604,14829,LANCONES,CORRAL DE VACAS
0273185,497335,250103,64162-B,IPARIA,COMUNIDAD NATIVA SAN LUIS DE CONTAMANILLO
0306738,399716,180301,CORONEL FRANCISCO BOLOGNESI CERVANTES,ILO,ILO
0584219,497547,250103,64744-B,IPARIA,LA SELVA
1093400,217071,110302,22719 JOSEFINA MUÑOZ BAYLON,CHANGUILLO,COYUNGO
0328252,342843,150141,6049 RICARDO PALMA,SURQUILLO,LIMA
0409755,169744,081211,50500 SAN MARTIN DE PORRES,OROPESA,CENTRO POBLADO DE HUASAO
1008127,308622,150115,055,LA VICTORIA,SAN COSME
0300046,473834,220401,0162 ROSA ARMENGOLA OCHOA,SAPOSOA,SAPOSOA
1487115,333914,150135,EL NIÑO PERUANO,SAN MARTIN DE PORRES,LIMA
0793109,017345,020110,88374,PARIACOTO,QUIRIMPA
0589614,419795,200202,15411,FRIAS,FLORECER
1386846,599715,080916,501384,CIELO PUNCO,HUAYANAY
0423079,093344,051107,38158,SAURAMA,CONTAY
0403485,116406,060611,16439,SANTA CRUZ,LAMIDERO
1378363,374080,160108,601679,PUNCHANA,ANTONIO SCAVINO
0245951,457400,210701,70450,LAMPA,TUMARUMA
0216556,263402,130613,80271 PEDRO OSWALDO CERNA VALDIVIEZO,SINSICAP,SINSICAP
0302364,477832,220603,0419 ANTERO CABALLERO RENGIFO,HUICUNGO,HUICUNGO
1574490,647702,120608,30001-137,RIO TAMBO,MONTE REY
0862052,241392,120606,30935,PANGOA,LOS ANDES
0709998,280741,140116,11154,CAYALTI,POPAN ALTO
0347807,113766,060602,10304,CALLAYUC,PINDOC
0491639,282170,140202,10623 JOSE CARLOS MARIATEGUI,CAÑARIS,SAUCEPAMPA
0764068,343994,150142,7213 PERUANO JAPONES,VILLA EL SALVADOR,
0451369,405717,190207,34140 JOAQUIN SAAVEDRA MERINO,TAPUC,TAPUC
1176320,657569,131201,LA SAGRADA FAMILIA,VIRU,VIRU
0314237,073435,040805,40547,PAMPAMARCA,TECCA
1017821,440462,200803,BERNAL,BERNAL,BERNAL
0241349,462581,211002,72147,ANANEA,RINCONADA
1263896,328559,150132,COLEGIO INGLES NUEVO MUNDO,SAN JUAN DE LURIGANCHO,LIMA
0312611,069909,040504,40380,CALLALI,CALLALLI
0484840,278658,140105,10836 LA APLICACION,JOSE LEONARDO ORTIZ,SAN CARLOS
0241810,449325,210304,72194,COASA,COMUNIDAD DE SACO
0714287,242928,120607,31841,RIO NEGRO,SANTA ROSA DE PANAKIARI
0379347,237540,120427,30473 VIRGEN DEL CARMEN,RICRAN,
0560037,466819,211210,72552,SAN PEDRO DE PUTINA PUNCO,AZATA
0387704,455873,210601,72517,HUATASANI,HUATASANI
0228866,456900,210608,72292,VILQUECHICO,HUALLATIRI
0228858,456896,210608,72291,VILQUECHICO,YAPUTIRA
0228163,457037,210608,72547,VILQUECHICO,CALANGACHI
0697557,324877,150132,0162 SAN JOSE OBRERO,SAN JUAN DE LURIGANCHO,MARISCAL CACERES
0229328,456009,210604,72338,INCHUPALLA,CHALANANI
0582460,282839,140203,10947,INCAHUASI,ANDAMARCA
0229062,455953,210604,72312,INCHUPALLA,TIQUITIQUI
0228700,455934,210604,72275,INCHUPALLA,CP MUNAYPA
0228171,456716,210608,70631,VILQUECHICO,CALAHUYO
0229344,456028,210604,72340,INCHUPALLA,CHILLIMURI
0229286,455991,210604,72334,INCHUPALLA,CAJON HUYO
0861989,455892,210603,73024,HUATASANI,CCANCCO
0229377,456995,210608,72343,VILQUECHICO,CUYOTOTORANE
1101815,244017,120608,31372,RIO TAMBO,SHIMABENZO
0447052,117444,060614,10376,SOCOTA,CHURUMAYO
1055169,319927,150125,SANTA ELENA,PUENTE PIEDRA,
0438572,111079,060504,82632,GUZMANGO,CRUZ GRANDE
0324269,317438,150122,NUESTRA SEÑORA DEL CARMEN,MIRAFLORES,SAN ANTONIO
0268102,268367,130813,80518,URPAY,OLGOYACO
0413450,017147,020109,86105,PAMPAS GRANDE,LA VICTORIA
0387696,455868,210603,72516,HUATASANI,QUEALLI
0818724,036787,021805,88043,MORO,HUELLAPAMPA
0232678,154361,080505,56173,LAYO,QOTAQWASI
0268912,265825,130705,80422,SAN JOSE,COSQUEPON
0599324,242711,120607,31546,RÍO NEGRO,VILLA REAL
0214015,267985,130810,80675,PIAS,QUICHIBAMBA
1532084,621325,130614,82171,USQUIL,EL ROSAL
1593904,806951,220401,0717,PISCOYACU,LA PRIMAVERA
0637215,071059,040515,40582,SIBAYO,ANEXO SIOBAYO
0431791,091364,051001,38499,HUANCAPI,PITAHUA
1332725,832097,100101,VON NEUMANN,HUANUCO,HUANUCO
0214031,267160,130805,80742,HUAYLILLAS,MACULL
0455766,282716,140203,10788,INCAHUASI,RIOPAMPA
0551366,232199,120302,31420,PERENE,SHANKIVIORNI
1333285,546133,040103,TERESITA DE JESUS,CAYMA,DEAN VALDIVIA
0476994,117496,060614,10383,SÓCOTA,NUEVO ORIENTE
0224576,116473,060611,16702,SANTA CRUZ,CHURUMAYO
1756600,688207,150133,EL MUNDO DE LOS GENIECITOS,SAN JUAN DE MIRAFLORES,SJM
