DISTRITO,LATITUD,LONGITUD,PVOUT
ACARI,-15.4325,-74.617222,1729.1
ACHOMA,-15.661111,-71.701667,2016.8
ALCA,-15.134167,-72.764722,1777.6
ALTO SELVA ALEGRE,-16.370556,-71.527222,2026.3
ANDAGUA,-15.4975,-72.355,2040.2
ANDARAY,-15.796111,-72.859722,2042.9
APLAO,-16.076111,-72.4925,1847.4
AREQUIPA,-16.400833,-71.537778,2030.6
ATICO,-16.208889,-73.625833,1684.0
ATIQUIPA,-15.795556,-74.365833,1612.1
AYO,-15.683611,-72.274444,1951.4
BELLA UNION,-15.451944,-74.662222,1728.0
CABANACONDE,-15.621389,-71.979722,1999.4
CAHUACHO,-15.504167,-73.481667,2058.0
CALLALLI,-15.506667,-71.448333,1998.5
CAMANA,-16.623611,-72.711389,1637.5
CARAVELI,-15.772778,-73.368056,2029.9
CAYARANI,-14.673056,-72.023056,1954.3
CAYLLOMA,-15.187222,-71.7725,1983.4
CAYMA,-16.388056,-71.549167,2030.9
CERRO COLORADO,-16.375,-71.561111,2040.4
CHACHAS,-15.501667,-72.271944,1920.4
CHALA,-15.866667,-74.247222,1700.1
CHAPARRA,-15.805833,-73.967222,1924.1
CHARACATO,-16.470556,-71.489722,2046.7
CHARCANA,-15.241111,-73.069722,1888.8
CHICHAS,-15.546944,-72.918333,1836.1
CHIGUATA,-16.4025,-71.393889,2005.0
CHILCAYMARCA,-15.286667,-72.379444,1992.5
CHIVAY,-15.64,-71.603333,1988.3
CHOCO,-15.576111,-72.133056,1794.1
CHUQUIBAMBA,-15.839722,-72.654167,1990.9
COCACHACRA,-17.094167,-71.771111,1515.9
COPORAQUE,-15.6275,-71.648333,1971.4
COTAHUASI,-15.211111,-72.891111,1892.4
DEAN VALDIVIA,-17.145,-71.823889,1528.2
HUAMBO,-15.729722,-72.107222,1950.2
HUANCA,-16.031111,-71.873611,1968.9
HUANCARQUI,-16.096944,-72.472222,1926.7
HUANUHUANU,-15.659167,-74.093611,1987.9
HUAYNACOTAS,-15.174444,-72.851389,1806.0
ICHUPAMPA,-15.650278,-71.689167,2000.9
IRAY,-15.856389,-72.625,1962.9
ISLAY,-17.0,-72.101667,1562.2
JACOBO HUNTER,-16.446667,-71.555556,2034.2
JAQUI,-15.475278,-74.441389,1884.2
JOSE LUIS BUSTAMANTE Y RIVERO,-16.434444,-71.5175,2037.1
JOSE MARIA QUIMPER,-16.603056,-72.7275,1621.8
LA JOYA,-16.423889,-71.820556,2026.8
LARI,-15.621667,-71.769167,1986.9
LLUTA,-16.015556,-72.016111,2032.5
LOMAS,-15.571944,-74.853333,1775.8
MACA,-15.641667,-71.771111,1983.2
MACHAGUAY,-15.648611,-72.505556,1951.5
MADRIGAL,-15.608611,-71.810278,1984.7
MAJES,-16.358611,-72.190833,2055.7
MARIANO MELGAR,-16.405833,-71.511667,2032.1
MARIANO NICOLAS VALCARCEL,-16.030278,-73.1625,1863.9
MARISCAL CACERES,-16.618333,-72.736111,1637.2
MEJIA,-17.102778,-71.908611,1480.6
MIRAFLORES,-16.395,-71.521111,2032.1
MOLLEBAYA,-16.488333,-71.468611,2042.1
MOLLENDO,-17.025,-72.018056,1511.6
NICOLAS DE PIEROLA,-16.571667,-72.714722,1605.2
OCOÑA,-16.432778,-73.108056,1680.2
ORCOPAMPA,-15.266111,-72.343056,2004.0
PAMPACOLCA,-15.713056,-72.572778,1953.4
PAMPAMARCA,-15.185,-72.907222,1831.8
PAUCARPATA,-16.423333,-71.508333,2037.5
POCSI,-16.517222,-71.3925,2053.7
POLOBAYA,-16.560556,-71.374722,2032.3
PUNTA DE BOMBON,-17.172778,-71.792778,1556.3
PUYCA,-15.058889,-72.690833,1895.7
QUECHUALLA,-15.275833,-73.023333,1810.9
QUEQUEÑA,-16.558611,-71.454444,2020.8
QUICACHA,-15.625278,-73.797778,1961.7
QUILCA,-16.716389,-72.4275,1610.9
RIO GRANDE,-15.941111,-73.130833,1871.6
SABANDIA,-16.456111,-71.495,2035.6
SACHACA,-16.428611,-71.567778,2032.9
SALAMANCA,-15.504167,-72.833333,1915.8
SAMUEL PASTOR,-16.615,-72.698889,1654.1
SAN ANTONIO DE CHUCA,-15.840278,-71.090278,2079.0
SAN JUAN DE SIGUAS,-16.346111,-72.131389,2024.6
SAN JUAN DE TARUCANI,-16.183889,-71.065556,2044.5
SANTA ISABEL DE SIGUAS,-16.319722,-72.102778,2022.9
SANTA RITA DE SIGUAS,-16.492778,-72.094444,2051.8
SAYLA,-15.321111,-73.221389,1987.9
SIBAYO,-15.485833,-71.458611,1965.6
SOCABAYA,-16.452222,-71.530833,2037.5
TAPAY,-15.578889,-71.941389,1731.4
TAURIA,-15.355278,-73.231944,1953.2
TIABAYA,-16.448889,-71.590833,2030.3
TIPAN,-15.727222,-72.505278,1864.2
TISCO,-15.346944,-71.449167,1956.7
TOMEPAMPA,-15.172778,-72.829722,1829.4
TORO,-15.264167,-72.9275,1923.6
TUTI,-15.5325,-71.551111,1965.3
UCHUMAYO,-16.425,-71.672222,2057.2
URACA,-16.223056,-72.473333,1929.3
UÑON,-15.7275,-72.431667,1958.4
VIRACO,-15.654722,-72.524722,1969.7
VITOR,-16.465833,-71.938889,2010.5
YANAHUARA,-16.395,-71.553889,2034.5
YANAQUIHUA,-15.774722,-72.875833,2016.4
YANQUE,-15.65,-71.661389,2010.3
YARABAMBA,-16.548056,-71.4775,2035.6
YAUCA,-15.660556,-74.526944,1840.2
YURA,-16.245,-71.693056,2072.9
