DISTRITO,LATITUD,LONGITUD
AREQUIPA,-16.400833,-71.537778
ALTO SELVA ALEGRE,-16.370556,-71.527222
CAYMA,-16.388056,-71.549167
CERRO COLORADO,-16.375,-71.561111
CHARACATO,-16.470556,-71.489722
CHIGUATA,-16.4025,-71.393889
JACOBO HUNTER,-16.446667,-71.555556
LA JOYA,-16.423889,-71.820556
MARIANO MELGAR,-16.405833,-71.511667
MIRAFLORES,-16.395,-71.521111
MOLLEBAYA,-16.488333,-71.468611
PAUCARPATA,-16.423333,-71.508333
POCSI,-16.517222,-71.3925
POLOBAYA,-16.560556,-71.374722
QUEQUEÑA,-16.558611,-71.454444
SABANDIA,-16.456111,-71.495
SACHACA,-16.428611,-71.567778
SAN JUAN DE SIGUAS,-16.346111,-72.131389
SAN JUAN DE TARUCANI,-16.183889,-71.065556
SANTA ISABEL DE SIGUAS,-16.319722,-72.102778
SANTA RITA DE SIGUAS,-16.492778,-72.094444
SOCABAYA,-16.452222,-71.530833
TIABAYA,-16.448889,-71.590833
UCHUMAYO,-16.425,-71.672222
VITOR,-16.465833,-71.938889
YANAHUARA,-16.395,-71.553889
YARABAMBA,-16.548056,-71.4775
YURA,-16.245,-71.693056
JOSE LUIS BUSTAMANTE Y RIVERO,-16.434444,-71.5175
CAMANA,-16.623611,-72.711389
JOSE MARIA QUIMPER,-16.603056,-72.7275
MARIANO NICOLAS VALCARCEL,-16.030278,-73.1625
MARISCAL CACERES,-16.618333,-72.736111
NICOLAS DE PIEROLA,-16.571667,-72.714722
OCOÑA,-16.432778,-73.108056
QUILCA,-16.716389,-72.4275
SAMUEL PASTOR,-16.615,-72.698889
CARAVELI,-15.772778,-73.368056
ACARI,-15.4325,-74.617222
ATICO,-16.208889,-73.625833
ATIQUIPA,-15.795556,-74.365833
BELLA UNION,-15.451944,-74.662222
CAHUACHO,-15.504167,-73.481667
CHALA,-15.866667,-74.247222
CHAPARRA,-15.805833,-73.967222
HUANUHUANU,-15.659167,-74.093611
JAQUI,-15.475278,-74.441389
LOMAS,-15.571944,-74.853333
QUICACHA,-15.625278,-73.797778
YAUCA,-15.660556,-74.526944
APLAO,-16.076111,-72.4925
ANDAGUA,-15.4975,-72.355
AYO,-15.683611,-72.274444
CHACHAS,-15.501667,-72.271944
CHILCAYMARCA,-15.286667,-72.379444
CHOCO,-15.576111,-72.133056
HUANCARQUI,-16.096944,-72.472222
MACHAGUAY,-15.648611,-72.505556
ORCOPAMPA,-15.266111,-72.343056
PAMPACOLCA,-15.713056,-72.572778
TIPAN,-15.727222,-72.505278
UÑON,-15.7275,-72.431667
URACA,-16.223056,-72.473333
VIRACO,-15.654722,-72.524722
CHIVAY,-15.64,-71.603333
ACHOMA,-15.661111,-71.701667
CABANACONDE,-15.621389,-71.979722
CALLALLI,-15.506667,-71.448333
CAYLLOMA,-15.187222,-71.7725
COPORAQUE,-15.6275,-71.648333
HUAMBO,-15.729722,-72.107222
HUANCA,-16.031111,-71.873611
ICHUPAMPA,-15.650278,-71.689167
LARI,-15.621667,-71.769167
LLUTA,-16.015556,-72.016111
MACA,-15.641667,-71.771111
MADRIGAL,-15.608611,-71.810278
SAN ANTONIO DE CHUCA,-15.840278,-71.090278
SIBAYO,-15.485833,-71.458611
TAPAY,-15.578889,-71.941389
TISCO,-15.346944,-71.449167
TUTI,-15.5325,-71.551111
YANQUE,-15.65,-71.661389
MAJES,-16.358611,-72.190833
CHUQUIBAMBA,-15.839722,-72.654167
ANDARAY,-15.796111,-72.859722
CAYARANI,-14.673056,-72.023056
CHICHAS,-15.546944,-72.918333
IRAY,-15.856389,-72.625
RIO GRANDE,-15.941111,-73.130833
SALAMANCA,-15.504167,-72.833333
YANAQUIHUA,-15.774722,-72.875833
MOLLENDO,-17.025,-72.018056
COCACHACRA,-17.094167,-71.771111
DEAN VALDIVIA,-17.145,-71.823889
ISLAY,-17.0,-72.101667
MEJIA,-17.102778,-71.908611
PUNTA DE BOMBON,-17.172778,-71.792778
COTAHUASI,-15.211111,-72.891111
ALCA,-15.134167,-72.764722
CHARCANA,-15.241111,-73.069722
HUAYNACOTAS,-15.174444,-72.851389
PAMPAMARCA,-15.185,-72.907222
PUYCA,-15.058889,-72.690833
QUECHUALLA,-15.275833,-73.023333
SAYLA,-15.321111,-73.221389
TAURIA,-15.355278,-73.231944
TOMEPAMPA,-15.172778,-72.829722
TORO,-15.264167,-72.9275
