COD_MOD,CODGEO,total_matriculados_2025
0216689,40811,1
0218651,40104,236
0218669,40108,54
0218685,40108,513
0218693,40108,106
0218701,40108,592
0218719,40108,179
0218727,40108,5
0218735,40108,110
0218743,40108,172
0218750,40108,70
0218768,40120,21
0218784,40118,58
0218792,40121,460
0218800,40117,199
0218818,40117,203
0218826,40123,7
0218834,40117,60
0218842,40117,245
0218875,40103,212
0218883,40123,390
0218891,40123,374
0218917,40123,380
0218925,40123,71
0218933,40117,47
0218941,40124,167
0218974,40124,254
0218982,40124,354
0218990,40108,323
0219014,40108,104
0219048,40126,130
0219055,40126,4
0219071,40128,11
0219089,40128,41
0219097,40128,32
0219105,40104,588
0219113,40118,34
0219121,40517,9
0219147,40108,92
0219154,40120,2
0219162,40120,3
0219170,40120,5
0219188,40108,38
0219220,40125,8
0219238,40125,8
0219287,40129,266
0219295,40129,301
0219303,40105,343
0219345,40106,57
0219360,40109,231
0219386,40109,113
0219402,40110,166
0219410,40109,536
0219428,40109,115
0219436,40118,46
0219469,40109,162
0219477,40410,163
0219501,40101,194
0219519,40110,351
0219550,40110,128
0219584,40110,154
0219634,40110,224
0219642,40110,254
0219659,40110,239
0219667,40110,434
0219675,40111,99
0219683,40112,95
0219691,40112,164
0219709,40112,366
0219717,40112,306
0219733,40129,143
0219741,40801,345
0219766,40508,2
0219782,40129,66
0219808,40112,545
0219816,40129,347
0219832,40112,126
0219840,40112,154
0219857,40112,246
0219865,40112,114
0219873,40112,235
0219899,40112,41
0219907,40112,106
0219923,40120,4
0219931,40113,3
0219949,40113,3
0219956,40114,46
0219964,40114,5
0219972,40115,34
0219980,40116,372
0219998,40203,652
0220004,40116,31
0220020,40122,206
0220046,40122,470
0220053,40107,294
0220087,40122,184
0220095,40122,512
0220103,40107,386
0220111,40107,810
0220129,40122,337
0220137,40127,398
0220152,40119,14
0220178,40113,6
0220194,40114,7
0220202,40119,9
0220210,40119,36
0220228,40119,4
0220244,40112,84
0220251,40122,154
0220285,40806,36
0220293,40127,64
0220301,40201,205
0226282,40103,153
0226423,40101,471
0226431,40101,270
0226464,40124,46
0226480,40101,105
0226498,40112,186
0226506,40112,172
0226555,40101,156
0226605,40101,274
0226647,40102,134
0226654,40101,168
0226688,40102,259
0226704,40505,41
0226746,40102,441
0226753,40104,618
0226761,40108,353
0226779,40129,667
0226795,40126,164
0226829,40101,71
0226837,40107,357
0226852,40103,209
0226860,40103,218
0226886,40126,397
0226894,40103,368
0226928,40103,274
0226936,40104,407
0226944,40104,398
0226951,40104,372
0226977,40104,130
0286641,40810,4
0286658,40811,1
0286674,40811,1
0286690,40811,3
0287409,40409,22
0287417,40811,4
0287425,40806,35
0287466,40505,5
0287482,40101,146
0287490,40101,94
0287508,40129,150
0287524,40101,349
0287565,40101,220
0287573,40101,257
0287599,40110,186
0287623,40101,209
0287656,40104,259
0287664,40104,688
0287698,40109,335
0287706,40109,431
0287730,40102,196
0287755,40110,159
0287763,40129,185
0287789,40201,488
0287813,40702,357
0287821,40706,238
0307066,40117,194
0307074,40109,413
0307090,40107,387
0307116,40109,209
0307124,40112,143
0307132,40101,624
0307140,40101,420
0307157,40112,136
0307165,40112,232
0307173,40112,289
0307215,40102,126
0307223,40102,283
0307231,40102,203
0307249,40102,232
0307256,40301,233
0307280,40101,365
0307298,40302,188
0307322,40101,449
0307330,40101,175
0307363,40101,147
0307371,40126,537
0307389,40701,171
0307397,40701,53
0307413,40101,502
0307421,40117,504
0307447,40101,590
0307454,40101,114
0307462,40101,363
0307512,40112,430
0307520,40110,50
0307553,40103,390
0307561,40101,203
0307579,40101,19
0307587,40101,44
0307595,40126,262
0307603,40104,324
0307629,40129,404
0307637,40101,459
0307710,40101,631
0307751,40409,146
0307777,40302,28
0307819,40606,201
0307835,40702,107
0307850,40206,90
0307876,40302,5
0309187,40109,1000
0309195,40701,603
0309211,40101,175
0309229,40101,1280
0309237,40201,1059
0309245,40401,312
0309252,40102,561
0309260,40103,1193
0309286,40601,241
0309294,40801,371
0309302,40101,833
0309310,40104,495
0309328,40701,344
0309336,40109,363
0309344,40101,493
0309351,40208,527
0309377,40101,808
0309385,40101,607
0309401,40103,419
0309419,40601,169
0309435,40104,654
0309443,40105,432
0309450,40127,271
0309468,40122,957
0309476,40702,349
0309484,40706,458
0309492,40107,956
0309500,40123,424
0309518,40112,159
0309526,40110,455
0309534,40301,377
0309542,40108,850
0309559,40503,94
0309567,40501,534
0309583,40307,870
0309591,40302,272
0309633,40101,230
0309641,40101,392
0309682,40102,248
0309716,40303,488
0309724,40125,265
0309740,40704,319
0309757,40206,163
0309906,40101,440
0309914,40101,345
0309922,40701,246
0309930,40101,400
0309955,40101,590
0309989,40101,729
0309997,40103,334
0310003,40101,337
0310037,40101,305
0310045,40701,83
0310052,40101,100
0310060,40101,297
0310102,40101,13
0310110,40101,64
0310128,40126,280
0310136,40101,470
0310144,40104,261
0310151,40126,444
0310169,40703,252
0310177,40117,360
0310185,40112,103
0310193,40101,365
0310201,40101,475
0310219,40129,446
0310268,40301,568
0310292,40601,186
0310417,40208,411
0310425,40413,320
0310433,40410,156
0310441,40122,425
0310466,40101,448
0311126,40201,357
