DISTRITO,PVOUT,N_PCS,N_PANELES,AREA_M2,KWP_TOTAL,E_GEN_KWH_YR,E_DEM_KWH_YR,EXCEDENTE_PCT,CAPEX_USD,CAPEX_PEN,OM_USD_YR,TOTAL_25YR_USD,LCOE_USD_KWH,PAYBACK_ANIOS,CO2_EVIT_KG_YR
ACARI,1729.1,15,4,8.8,2.2,3043.0,2700.0,12.7,936.0,3510.0,9.0,1170.0,0.0154,6.1,1522.0
ACARI,1729.1,20,5,11.1,2.75,3804.0,3600.0,5.7,1170.0,4388.0,12.0,1462.0,0.0154,5.7,1902.0
ACARI,1729.1,30,8,17.7,4.4,6086.0,5400.0,12.7,1872.0,7020.0,19.0,2340.0,0.0154,6.1,3043.0
ACARI,1729.1,35,9,19.9,4.95,6847.0,6300.0,8.7,2106.0,7898.0,21.0,2632.0,0.0154,5.9,3424.0
ACHOMA,2016.8,15,4,8.8,2.2,3550.0,2700.0,31.5,936.0,3510.0,9.0,1170.0,0.0132,6.1,1775.0
ACHOMA,2016.8,20,5,11.1,2.75,4437.0,3600.0,23.2,1170.0,4388.0,12.0,1462.0,0.0132,5.7,2218.0
ACHOMA,2016.8,30,7,15.5,3.85,6212.0,5400.0,15.0,1638.0,6142.0,16.0,2048.0,0.0132,5.3,3106.0
ACHOMA,2016.8,35,8,17.7,4.4,7099.0,6300.0,12.7,1872.0,7020.0,19.0,2340.0,0.0132,5.2,3550.0
ALCA,1777.6,15,4,8.8,2.2,3129.0,2700.0,15.9,936.0,3510.0,9.0,1170.0,0.015,6.1,1564.0
ALCA,1777.6,20,5,11.1,2.75,3911.0,3600.0,8.6,1170.0,4388.0,12.0,1462.0,0.015,5.7,1955.0
ALCA,1777.6,30,7,15.5,3.85,5475.0,5400.0,1.4,1638.0,6142.0,16.0,2048.0,0.015,5.3,2737.0
ALCA,1777.6,35,9,19.9,4.95,7039.0,6300.0,11.7,2106.0,7898.0,21.0,2632.0,0.015,5.9,3520.0
ALTO SELVA ALEGRE,2026.3,15,4,8.8,2.2,3566.0,2700.0,32.1,936.0,3510.0,9.0,1170.0,0.0131,6.1,1783.0
ALTO SELVA ALEGRE,2026.3,20,5,11.1,2.75,4458.0,3600.0,23.8,1170.0,4388.0,12.0,1462.0,0.0131,5.7,2229.0
ALTO SELVA ALEGRE,2026.3,30,7,15.5,3.85,6241.0,5400.0,15.6,1638.0,6142.0,16.0,2048.0,0.0131,5.3,3120.0
ALTO SELVA ALEGRE,2026.3,35,8,17.7,4.4,7133.0,6300.0,13.2,1872.0,7020.0,19.0,2340.0,0.0131,5.2,3566.0
ANDAGUA,2040.2,15,4,8.8,2.2,3591.0,2700.0,33.0,936.0,3510.0,9.0,1170.0,0.013,6.1,1795.0
ANDAGUA,2040.2,20,5,11.1,2.75,4488.0,3600.0,24.7,1170.0,4388.0,12.0,1462.0,0.013,5.7,2244.0
ANDAGUA,2040.2,30,7,15.5,3.85,6284.0,5400.0,16.4,1638.0,6142.0,16.0,2048.0,0.013,5.3,3142.0
ANDAGUA,2040.2,35,8,17.7,4.4,7182.0,6300.0,14.0,1872.0,7020.0,19.0,2340.0,0.013,5.2,3591.0
