Código Modular,Latitud,Longitud
3994635,-16.440842,-71.577918
1752989,-16.42022,-71.54042
1237908,-16.4116,-71.5248
1030410,-16.4116,-71.5248
1030402,-16.4116,-71.5248
1721521,-16.4102,-71.52335
226423,-16.39186,-71.53059
226431,-16.40718,-71.53606
1397454,-16.40718,-71.53606
1399286,-16.40876,-71.52288
226480,-16.40876,-71.52288
226555,-16.40282,-71.5406
226605,-16.39087,-71.53401
1253145,-16.39087,-71.53401
226829,-16.3983,-71.5441
1636570,-16.3983,-71.5441
219501,-16.41849,-71.53863
287490,-16.41189,-71.54024
287524,-16.39941,-71.52401
570044,-16.39941,-71.52401
287573,-16.40433,-71.5397
1574615,-16.40433,-71.5397
287623,-16.39655111,-71.53295493
1334424,-16.38956371,-71.52984741
1328251,-16.38956371,-71.52984741
1624170,-16.38956371,-71.52984741
892257,-16.39934051,-71.53898334
1672088,-16.40002,-71.52599
1117332,-16.4114,-71.52775
1119791,-16.4114,-71.52775
898551,-16.4114,-71.52775
1261262,-16.40437,-71.54236
1261304,-16.40437,-71.54236
1260306,-16.39734,-71.53893
1030907,-16.39372,-71.53243
1031053,-16.40311,-71.53904
1202597,-16.40311,-71.53904
309641,-16.39225,-71.5295
1119718,-16.39225,-71.5295
1337153,-16.39543,-71.53235
899229,-16.40086282,-71.52746282
1345065,-16.41958,-71.51128
1526862,-16.4073,-71.5485
1118801,-16.4037,-71.5393
1272251,-16.4037,-71.5393
1443837,-16.4038,-71.5393
1749886,-16.40025,-71.54458
1420413,-16.40197,-71.51931
1279496,-16.39964,-71.52567
898619,-16.39964,-71.52567
3039872,-16.401599,-71.526021
3039872,-16.41211733,-71.52878523
3060977,-16.41211733,-71.52878523
1240043,-16.40054,-71.52722
1333673,-16.39673,-71.52612
1333681,-16.39673,-71.52612
1335330,-16.39673,-71.52612
1279371,-16.40236,-71.551
1330323,-16.40235,-71.55104
893248,-16.4126,-71.5298
619106,-16.42753,-71.56638
617076,-16.42753,-71.56638
1639079,-16.404725,-71.541853
310896,-16.3963,-71.5265
1433291,-16.39872,-71.54654
896035,-16.419,-71.5491
1640077,-16.39823,-71.54487
695445,-16.40865,-71.52933
1240118,-16.40092,-71.52714
1240126,-16.40092,-71.52714
3050069,-16.395545,-71.52733
1634435,-16.41009,-71.53484
1030915,-16.405257,-71.528782
